Date, Open, High, Low, Close
03/14/22, 1842.49, 1842.49, 1771.71, 1782.36
03/11/22, 1868.94, 1874.70, 1840.92, 1842.49
03/10/22, 1830.73, 1871.19, 1807.75, 1868.94
03/09/22, 1815.89, 1838.20, 1780.38, 1830.73
03/08/22, 1867.29, 1867.29, 1811.48, 1815.89
03/07/22, 1896.92, 1934.41, 1854.18, 1867.29
03/04/22, 1907.94, 1907.94, 1851.31, 1896.92
03/03/22, 1873.49, 1912.63, 1870.97, 1907.94
03/02/22, 1797.76, 1877.51, 1797.76, 1873.49
03/01/22, 1782.69, 1843.26, 1776.25, 1797.75
02/28/22, 1754.90, 1790.38, 1734.79, 1782.69
02/25/22, 1655.24, 1755.68, 1655.24, 1754.90
02/24/22, 1667.19, 1667.19, 1593.06, 1655.24
02/23/22, 1684.44, 1691.45, 1661.26, 1667.19
02/22/22, 1687.24, 1718.51, 1674.22, 1684.44
02/18/22, 1684.19, 1704.93, 1678.22, 1687.24
02/17/22, 1729.90, 1729.90, 1674.29, 1684.19
02/16/22, 1720.66, 1739.31, 1716.77, 1729.90
02/15/22, 1701.14, 1723.07, 1675.86, 1720.67
02/14/22, 1709.91, 1714.59, 1685.61, 1701.14
02/11/22, 1739.30, 1746.76, 1702.93, 1709.91
02/10/22, 1738.62, 1769.72, 1728.05, 1739.29
02/09/22, 1708.86, 1740.81, 1701.54, 1738.62
02/08/22, 1668.05, 1708.97, 1668.05, 1708.86
02/07/22, 1640.59, 1679.99, 1638.73, 1668.05
02/04/22, 1630.27, 1649.23, 1619.03, 1640.58
02/03/22, 1649.32, 1662.39, 1628.55, 1630.26
02/02/22, 1627.65, 1655.70, 1614.75, 1649.32
02/01/22, 1554.14, 1628.12, 1554.14, 1627.65
01/31/22, 1553.40, 1560.17, 1536.98, 1554.14
01/28/22, 1548.37, 1559.71, 1520.66, 1553.41
01/27/22, 1547.79, 1590.53, 1540.18, 1548.37
01/26/22, 1551.11, 1585.17, 1534.06, 1547.79
01/25/22, 1554.23, 1562.76, 1510.29, 1551.11
01/24/22, 1557.41, 1557.89, 1487.98, 1554.23
01/21/22, 1633.22, 1633.22, 1554.55, 1557.41
01/20/22, 1675.27, 1699.36, 1631.43, 1633.22
01/19/22, 1659.47, 1706.93, 1659.47, 1675.27
01/18/22, 1690.97, 1690.97, 1647.06, 1659.47
01/14/22, 1694.77, 1695.22, 1670.87, 1690.97
01/13/22, 1713.27, 1726.05, 1690.83, 1694.77
01/12/22, 1664.58, 1717.32, 1664.58, 1713.27
01/11/22, 1638.34, 1664.58, 1619.31, 1664.58
01/10/22, 1657.84, 1663.71, 1627.13, 1638.34
