,date,rate,usd,gdp,processing_idx,oil,steel
0,2015-01-01,,,18467.912804445743,103.0,55.84,
1,2015-01-02,,,,,56.42,979.56
2,2015-01-03,,,,,,
3,2015-01-04,,,,,,
4,2015-01-05,,,,,53.11,939.91
5,2015-01-06,,,,,51.1,942.83
6,2015-01-07,,,,,51.15,956.86
7,2015-01-08,,,,,50.96,971.15
8,2015-01-09,,,,,50.11,959.61
9,2015-01-10,,,,,,
10,2015-01-11,,,,,,
11,2015-01-12,,,,,47.43,940.33
12,2015-01-13,,,,,46.59,926.74
13,2015-01-14,,,,,48.69,898.68
14,2015-01-15,,,,,47.67,894.77
15,2015-01-16,,,,,50.17,917.05
16,2015-01-17,,,,,,
17,2015-01-18,,,,,,
18,2015-01-19,,,,,48.84,
19,2015-01-20,,,,,47.99,913.33
20,2015-01-21,,,,,49.03,929.35
21,2015-01-22,,,,,48.52,940.83
22,2015-01-23,,,,,48.79,896.59
23,2015-01-24,,,,,,
24,2015-01-25,,,,,,
25,2015-01-26,,,,,48.16,901.7
26,2015-01-27,,,,,49.6,900.4
27,2015-01-28,,,,,48.47,886.17
28,2015-01-29,,,,,49.13,879.14
29,2015-01-30,,,,,52.99,883.12
30,2015-01-31,,,,,,
31,2015-02-01,,,,102.9,,
32,2015-02-02,15.0,,,,54.75,900.53
33,2015-02-03,,,,,57.91,941.22
34,2015-02-04,,,,,54.16,918.11
35,2015-02-05,,,,,56.57,936.34
36,2015-02-06,,,,,57.8,926.28
37,2015-02-07,,,,,,
38,2015-02-08,,,,,,
39,2015-02-09,,,,,58.34,946.09
40,2015-02-10,,,,,56.43,926.62
41,2015-02-11,,,,,54.66,926.83
42,2015-02-12,,,,,57.05,951.82
43,2015-02-13,,,,,61.52,980.19
44,2015-02-14,,,,,,
45,2015-02-15,,,,,,
46,2015-02-16,,,,,61.4,
47,2015-02-17,,,,,62.53,972.43
48,2015-02-18,,,,,60.53,970.41
49,2015-02-19,,,,,60.21,964.94
50,2015-02-20,,,,,60.22,974.12
51,2015-02-21,,,,,,
52,2015-02-22,,,,,,
53,2015-02-23,,,,,58.9,951.28
54,2015-02-24,,,,,58.66,967.71
55,2015-02-25,,,,,61.63,961.71
56,2015-02-26,,,,,60.05,949.97
57,2015-02-27,,,,,62.58,948.91
58,2015-02-28,,,,,,
59,2015-03-01,,,,103.6,,
60,2015-03-02,,,,,59.54,938.62
61,2015-03-03,,,,,61.02,936.91
62,2015-03-04,,,,,60.55,924.9
63,2015-03-05,,61.8745,,,60.48,918.43
64,2015-03-06,,61.8457,,,59.73,898.5
65,2015-03-07,,59.9938,,,,
66,2015-03-08,,,,,,
67,2015-03-09,,,,,58.53,893.21
68,2015-03-10,,,,,56.39,870.01
69,2015-03-11,,60.6649,,,57.54,873.02
70,2015-03-12,,62.6797,,,57.08,880.47
71,2015-03-13,,60.9595,,,54.67,860.26
72,2015-03-14,,61.3167,,,,
73,2015-03-15,,,,,,
74,2015-03-16,14.0,,,,53.44,859.06
75,2015-03-17,,62.1497,,,53.51,868.53
76,2015-03-18,,61.751,,,55.91,893.68
77,2015-03-19,,61.3483,,,54.43,862.35
78,2015-03-20,,59.8308,,,55.32,887.53
79,2015-03-21,,60.0341,,,,
80,2015-03-22,,,,,,
81,2015-03-23,,,,,55.92,907.61
82,2015-03-24,,59.4452,,,55.11,899.49
83,2015-03-25,,58.771,,,56.48,894.57
84,2015-03-26,,57.3879,,,59.19,881.14
85,2015-03-27,,56.4271,,,56.41,861.27
86,2015-03-28,,57.7279,,,,
87,2015-03-29,,,,,,
88,2015-03-30,,,,,56.29,878.56
89,2015-03-31,,58.4643,,,55.11,865.05
90,2015-04-01,,57.65,19751.014987984385,101.4,57.1,857.21
91,2015-04-02,,58.3536,,,54.95,869.21
92,2015-04-03,,56.9902,,,54.7,
93,2015-04-04,,56.7534,,,,
94,2015-04-05,,,,,,
95,2015-04-06,,,,,58.12,877.5
96,2015-04-07,,56.5161,,,59.1,887.03
97,2015-04-08,,55.3328,,,55.55,887.7
98,2015-04-09,,54.027,,,56.57,890.65
99,2015-04-10,,52.5424,,,57.87,888.05
100,2015-04-11,,51.0678,,,,
101,2015-04-12,,,,,,
102,2015-04-13,,,,,57.93,878.67
103,2015-04-14,,52.422,,,58.43,904.74
104,2015-04-15,,51.9749,,,60.32,923.95
105,2015-04-16,,50.5033,,,63.98,907.46
106,2015-04-17,,49.6749,,,63.45,890.81
107,2015-04-18,,50.5295,,,,
108,2015-04-19,,,,,,
109,2015-04-20,,,,,63.45,898.33
110,2015-04-21,,51.5207,,,62.08,895.55
111,2015-04-22,,53.9728,,,62.73,918.24
112,2015-04-23,,53.6555,,,64.85,959.72
113,2015-04-24,,51.6011,,,65.28,981.81
114,2015-04-25,,50.2473,,,,
115,2015-04-26,,,,,,
116,2015-04-27,,,,,64.83,989.08
117,2015-04-28,,51.469,,,64.64,994.98
118,2015-04-29,,52.3041,,,65.84,967.78
119,2015-04-30,,51.7029,,,66.78,975.27
120,2015-05-01,,51.1388,,99.6,66.46,988.96
121,2015-05-02,,,,,,
122,2015-05-03,,,,,,
123,2015-05-04,,,,,66.45,994.17
124,2015-05-05,12.5,,,,67.52,1013.38
125,2015-05-06,,51.7574,,,67.77,996.62
126,2015-05-07,,49.9816,,,65.54,980.04
127,2015-05-08,,50.3615,,,65.39,984.45
